Sun May  4 21:21:41 2025    profile.prof

         21377172 function calls (21256768 primitive calls) in 20.703 seconds

   Ordered by: internal time
   List reduced from 5784 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4546    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     4148    0.001    0.000    0.003    0.000 entry_utils.py:7(get_entry_key)
  2600/14    0.001    0.000    1.244    0.089 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       93    0.001    0.000    0.010    0.000 typing.py:2888(__new__)
     4148    0.001    0.000    0.007    0.000 entry.py:304(overall_quality_score)
       24    0.001    0.000    0.001    0.000 {method 'addWidget' of 'PySide6.QtWidgets.QBoxLayout' objects}
      129    0.001    0.000    0.003    0.000 __init__.py:298(__init__)
     4963    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1977    0.001    0.000    0.002    0.000 typing.py:2374(get_args)
     4160    0.001    0.000    0.001    0.000 {method 'close' of 'apsw.Cursor' objects}
       25    0.001    0.000    0.030    0.001 _schema_validator.py:21(create_schema_validator)
      385    0.001    0.000    0.002    0.000 _core_metadata.py:41(update_core_metadata)
     4963    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
  521/514    0.001    0.000    0.205    0.000 _model_construction.py:522(set_model_fields)


